순번,지역,확진자수,지역발생수,사망자수
1,제주,2875,15,2
2,경남,11460,67,37
3,경북,8323,52,91
4,전남,3084,24,21
5,전북,4515,35,61
6,충남,9133,55,56
7,충북,6344,61,77
8,강원,6437,32,62
9,경기,90129,879,803
10,세종,1239,14,1
11,울산,5165,27,52
12,대전,6985,35,46
13,광주,4989,31,29
14,인천,15802,148,88
15,대구,15499,73,242
16,부산,12721,49,155
17,서울,100495,941,643
20,제주,2860,5,2
21,경남,11393,81,37
22,경북,8271,88,91
23,전남,3060,23,21
24,전북,4480,41,61
25,충남,9073,75,56
26,충북,6283,83,77
27,강원,6405,20,62
28,경기,89245,988,800
29,세종,1225,10,1
30,울산,5138,27,52
31,대전,6949,28,46
32,광주,4957,28,29
33,인천,15654,151,88
34,대구,15426,108,242
35,부산,12672,52,155
36,서울,99550,1050,639
39,제주,2855,7,2
40,경남,11309,63,36
41,경북,8183,73,91
42,전남,3037,18,21
43,전북,4439,42,61
44,충남,8996,46,56
45,충북,6199,59,77
46,강원,6385,26,62
47,경기,88255,718,798
48,세종,1215,4,1
49,울산,5111,17,52
50,대전,6920,54,45
51,광주,4929,28,29
52,인천,15500,123,87
53,대구,15317,126,242
54,부산,12620,29,155
55,서울,98496,837,635
58,제주,2848,9,2
59,경남,11242,101,36
60,경북,8108,71,91
61,전남,3019,16,21
62,전북,4397,43,61
63,충남,8948,74,56
64,충북,6140,62,76
65,강원,6359,40,62
66,경기,87534,755,795
67,세종,1211,12,1
68,울산,5094,19,52
69,대전,6866,51,44
70,광주,4901,27,29
71,인천,15377,145,86
72,대구,15191,115,242
73,부산,12591,42,155
74,서울,97654,773,633
77,제주,2839,6,2
78,경남,11141,72,36
79,경북,8037,85,91
80,전남,3003,25,21
81,전북,4354,47,61
82,충남,8870,74,56
83,충북,6077,49,75
84,강원,6319,47,62
85,경기,86779,922,794
86,세종,1197,8,1
87,울산,5074,27,49
88,대전,6815,53,44
89,광주,4873,39,29
90,인천,15232,168,86
91,대구,15076,143,242
92,부산,12548,46,155
93,서울,96876,923,632
96,제주,2832,15,2
97,경남,11068,46,36
98,경북,7952,57,91
99,전남,2978,28,21
100,전북,4306,65,60
101,충남,8795,91,56
102,충북,6026,59,74
103,강원,6272,56,62
104,경기,85848,1094,790
105,세종,1189,10,1
106,울산,5047,26,48
107,대전,6762,79,44
108,광주,4833,30,29
109,인천,15059,201,86
110,대구,14933,118,242
111,부산,12502,51,155
112,서울,95948,1217,630
115,제주,2817,14,2
116,경남,11021,37,36
117,경북,7894,45,90
118,전남,2950,17,20
119,전북,4241,62,60
120,충남,8702,75,56
121,충북,5966,60,74
122,강원,6215,43,62
123,경기,84746,704,789
124,세종,1179,14,1
125,울산,5021,30,48
126,대전,6682,71,44
127,광주,4803,42,29
128,인천,14858,140,85
129,대구,14815,128,242
130,부산,12451,29,155
131,서울,94726,901,627
134,제주,2803,9,2
135,경남,10983,28,36
136,경북,7848,20,90
137,전남,2933,14,20
138,전북,4179,40,60
139,충남,8627,54,56
140,충북,5906,24,74
141,강원,6172,30,62
142,경기,84038,544,789
143,세종,1165,9,1
144,울산,4991,22,46
145,대전,6611,43,44
146,광주,4761,36,29
147,인천,14718,107,84
148,대구,14687,53,240
149,부산,12421,24,155
150,서울,93821,640,625
153,제주,2794,5,2
154,경남,10955,29,36
155,경북,7827,27,90
156,전남,2918,23,20
157,전북,4139,26,60
158,충남,8573,61,56
159,충북,5881,26,74
160,강원,6141,33,62
161,경기,83490,528,786
162,세종,1155,4,1
163,울산,4968,20,46
164,대전,6568,16,44
165,광주,4725,40,29
166,인천,14611,145,84
167,대구,14634,41,239
168,부산,12397,38,155
169,서울,93176,641,621
172,제주,2789,7,2
173,경남,10926,26,36
174,경북,7799,27,90
175,전남,2895,7,20
176,전북,4112,31,60
177,충남,8511,44,56
178,충북,5854,23,74
179,강원,6108,39,62
180,경기,82961,499,785
181,세종,1151,4,1
182,울산,4948,15,46
183,대전,6552,43,44
184,광주,4685,39,29
185,인천,14463,130,83
186,대구,14593,46,238
187,부산,12359,44,153
188,서울,92532,673,620
191,제주,2782,8,2
192,경남,10900,30,36
193,경북,7772,35,90
194,전남,2888,6,20
195,전북,4082,38,60
196,충남,8466,33,56
197,충북,5827,35,74
198,강원,6069,28,62
199,경기,82459,503,784
200,세종,1147,9,1
201,울산,4932,14,46
202,대전,6508,49,44
203,광주,4645,32,29
204,인천,14330,96,83
205,대구,14547,35,237
206,부산,12314,47,153
207,서울,91856,578,618
210,제주,2772,6,2
211,경남,10868,21,36
212,경북,7735,39,89
213,전남,2882,11,20
214,전북,4043,20,60
215,충남,8432,41,56
216,충북,5791,32,74
217,강원,6041,46,62
218,경기,81952,544,784
219,세종,1138,8,1
220,울산,4917,30,46
221,대전,6459,48,44
222,광주,4610,21,29
223,인천,14234,180,82
224,대구,14512,47,236
225,부산,12267,44,153
226,서울,91273,732,617
229,제주,2766,3,2
230,경남,10846,43,36
231,경북,7694,22,89
232,전남,2870,6,20
233,전북,4023,72,60
234,충남,8385,71,55
235,충북,5756,39,74
236,강원,5995,48,62
237,경기,81405,665,780
238,세종,1130,12,1
239,울산,4887,33,45
240,대전,6411,43,43
241,광주,4588,25,29
242,인천,14051,145,82
243,대구,14465,71,234
244,부산,12221,49,153
245,서울,90532,700,616
248,제주,2763,9,2
249,경남,10803,35,36
250,경북,7670,36,89
251,전남,2863,13,20
252,전북,3950,36,60
253,충남,8312,55,55
254,충북,5715,36,74
255,강원,5947,39,62
256,경기,80733,655,778
257,세종,1118,12,1
